mzml_file	condition	timepoint	replicate	group
Cont_ECM_0h_1.mzML	ECM_Cont	0h	1	ECM_Cont_0h
Cont_ECM_0h_2.mzML	ECM_Cont	0h	2	ECM_Cont_0h
Cont_ECM_0h_3.mzML	ECM_Cont	0h	3	ECM_Cont_0h
Cont_ECM_6h_1.mzML	ECM_Cont	6h	1	ECM_Cont_6h
Cont_ECM_6h_2.mzML	ECM_Cont	6h	2	ECM_Cont_6h
Cont_ECM_6h_3.mzML	ECM_Cont	6h	3	ECM_Cont_6h
Cont_ECM_24h_1.mzML	ECM_Cont	24h	1	ECM_Cont_24h
Cont_ECM_24h_2.mzML	ECM_Cont	24h	2	ECM_Cont_24h
Cont_ECM_24h_3.mzML	ECM_Cont	24h	3	ECM_Cont_24h
EPS_ECM_0h_1.mzML	ECM_EPS	0h	1	ECM_EPS_0h
EPS_ECM_0h_2.mzML	ECM_EPS	0h	2	ECM_EPS_0h
EPS_ECM_0h_3.mzML	ECM_EPS	0h	3	ECM_EPS_0h
EPS_ECM_6h_1.mzML	ECM_EPS	6h	1	ECM_EPS_6h
EPS_ECM_6h_2.mzML	ECM_EPS	6h	2	ECM_EPS_6h
EPS_ECM_6h_3.mzML	ECM_EPS	6h	3	ECM_EPS_6h
EPS_ECM_24h_1.mzML	ECM_EPS	24h	1	ECM_EPS_24h
EPS_ECM_24h_2.mzML	ECM_EPS	24h	2	ECM_EPS_24h
EPS_ECM_24h_3.mzML	ECM_EPS	24h	3	ECM_EPS_24h
Cont_NonECM_0h_1.mzML	NonECM_Cont	0h	1	NonECM_Cont_0h
Cont_NonECM_0h_2.mzML	NonECM_Cont	0h	2	NonECM_Cont_0h
Cont_NonECM_0h_3.mzML	NonECM_Cont	0h	3	NonECM_Cont_0h
Cont_NonECM_6h_1.mzML	NonECM_Cont	6h	1	NonECM_Cont_6h
Cont_NonECM_6h_2.mzML	NonECM_Cont	6h	2	NonECM_Cont_6h
Cont_NonECM_6h_3.mzML	NonECM_Cont	6h	3	NonECM_Cont_6h
Cont_NonECM_24h_1.mzML	NonECM_Cont	24h	1	NonECM_Cont_24h
Cont_NonECM_24h_2.mzML	NonECM_Cont	24h	2	NonECM_Cont_24h
Cont_NonECM_24h_3.mzML	NonECM_Cont	24h	3	NonECM_Cont_24h
EPS_NonECM_0h_1.mzML	NonECM_EPS	0h	1	NonECM_EPS_0h
EPS_NonECM_0h_2.mzML	NonECM_EPS	0h	2	NonECM_EPS_0h
EPS_NonECM_0h_3.mzML	NonECM_EPS	0h	3	NonECM_EPS_0h
EPS_NonECM_6h_1.mzML	NonECM_EPS	6h	1	NonECM_EPS_6h
EPS_NonECM_6h_2.mzML	NonECM_EPS	6h	2	NonECM_EPS_6h
EPS_NonECM_6h_3.mzML	NonECM_EPS	6h	3	NonECM_EPS_6h
EPS_NonECM_24h_1.mzML	NonECM_EPS	24h	1	NonECM_EPS_24h
EPS_NonECM_24h_2.mzML	NonECM_EPS	24h	2	NonECM_EPS_24h
EPS_NonECM_24h_3.mzML	NonECM_EPS	24h	3	NonECM_EPS_24h
